word,weight
dream,24446
madre,24446
derma,24446
lands,24440
terfs,24435
frets,24435
yeard,24432
lynes,24432
rayed,24432
deary,24432
deray,24432
ready,24432
snort,24430
trons,24430
ronts,24430
shope,24415
hopes,24415
usher,24408
erhus,24408
huers,24408
taigs,24399
staig,24399
gaits,24399
toils,24399
agist,24399
hazes,24398
pents,24395
spent,24395
shmoe,24393
homes,24393
knars,24392
snark,24392
skran,24392
skarn,24392
krans,24392
narks,24392
karns,24392
ranks,24392
odahs,24387
dosha,24387
neski,24386
skein,24386
kines,24386
basti,24384
baits,24384
absit,24384
tabis,24384
jiaos,24382
hosey,24379
abode,24379
adobe,24379
fanos,24377
volae,24376
laevo,24376
loave,24376
soars,24373
soras,24373
roosa,24373
saros,24373
osars,24373
ments,24373
roars,24373
sorra,24373
rossa,24373
sizer,24372
spalt,24370
plats,24370
splat,24370
plast,24370
stand,24367
dants,24367
kails,24361
laiks,24361
skail,24361
doris,24361
roids,24361
kalis,24361
nesty,24359
tynes,24359
malts,24348
smalt,24348
vairs,24343
rivas,24343
pacos,24341
posca,24341
scopa,24341
capos,24341
perms,24338
pases,24338
spaes,24338
pease,24338
apses,24338
prems,24338
passe,24338
sperm,24338
papes,24338
arcus,24334
slaty,24334
scaur,24334
salty,24334
draps,24332
spard,24332
pards,24332
prads,24332
sprad,24332
pieds,24326
siped,24326
spied,24326
spide,24326
pedis,24326
pyres,24324
spyre,24324
preys,24324
pryse,24324
strew,24322
trews,24322
wrest,24322
camos,24319
comas,24319
farle,24317
flare,24317
feral,24317
seame,24316
seams,24316
mease,24316
semas,24316
eclat,24316
emmas,24316
mesas,24316
sames,24316
masse,24316
lacet,24316
mases,24316
cleat,24316
loran,24312
drams,24310
mrads,24310
mards,24310
eloin,24306
olein,24306
deism,24304
dimes,24304
meids,24304
disme,24304
ovate,24303
essay,24302
sayee,24302
eyass,24302
hains,24299
nashi,24299
yards,24296
drays,24296
dryas,24296
sidey,24290
sitka,24288
